Date,Open,High,Low,Close,Adj Close,Volume
2023-05-18,1678732056,1689508667,1649666382,1681002563,1681002563,5861044206
2023-05-19,1681195068,1692463379,1647815552,1672122925,1672122925,5265033735
2023-05-20,1671441650,1687925781,1669564941,1675467163,1675467163,4433284518
2023-05-21,1675630249,1690787720,1671267944,1682900879,1682900879,2728593424
2023-05-22,1682586670,1689782227,1665622192,1667311157,1667311157,3129232187
2023-05-23,1667598022,1688903320,1656472778,1681225220,1681225220,4194741575
2023-05-24,1681453003,1729918945,1680208008,1721885132,1721885132,6332754791
2023-05-25,1721809937,1721809937,1652992676,1673648438,1673648438,6602777992
2023-05-26,1673411377,1693865479,1641255615,1684100586,1684100586,5895146479
2023-05-27,1683887695,1713172119,1676195313,1704064575,1704064575,5079900377
2023-05-28,1703958252,1711048584,1693630005,1706327637,1706327637,2997516981
2023-05-29,1706309326,1786540283,1701061646,1782355469,1782355469,5931761401
2023-05-30,1780847656,1797185791,1753607788,1768134888,1768134888,5496286050
2023-05-31,1768149048,1785801270,1757635742,1771427856,1771427856,4997798003
2023-06-01,1771494629,1777011841,1737405640,1752593018,1752593018,5596416909
2023-06-02,1752391357,1765296997,1726841064,1730625732,1730625732,5241525435
2023-06-03,1730832397,1783682373,1721201172,1780233398,1780233398,5691636136
2023-06-04,1780386597,1781694702,1759912231,1766377808,1766377808,3241021119
2023-06-05,1766364502,1782848877,1760067505,1767356079,1767356079,3502941599
2023-06-06,1767266357,1768304688,1660702393,1691519287,1691519287,8632600763
2023-06-07,1690355225,1773491577,1686969116,1761429810,1761429810,8135978869
2023-06-08,1761315796,1769101685,1703268433,1711380859,1711380859,7396848785
2023-06-09,1711490723,1726276367,1708733643,1712360107,1712360107,4206970233
2023-06-10,1712152344,1722401611,1701906860,1711996460,1711996460,4289544159
2023-06-11,1712151611,1716239136,1601491211,1629595093,1629595093,10032550183
2023-06-12,1629728027,1651979248,1619110840,1631077759,1631077759,4241019109
2023-06-13,1630761597,1631092407,1604840820,1619096680,1619096680,5604151805
2023-06-14,1618967896,1632143311,1601275146,1611769531,1611769531,5759356879
2023-06-15,1611966553,1618631836,1511358398,1522126953,1522126953,6882373575
2023-06-16,1522107666,1531732666,1497785278,1521612305,1521612305,6695347560
2023-06-17,1521512573,1578682251,1512995239,1566803711,1566803711,5732690129
2023-06-18,1566806274,1612524658,1564505493,1576419189,1576419189,4449583610
2023-06-19,1576409668,1592875732,1570090942,1572236206,1572236206,3490690373
2023-06-20,1572170288,1598150757,1562187378,1590724609,1590724609,4769887132
2023-06-21,1590010986,1642266724,1573428833,1641135620,1641135620,6566916885
